paper_id,reaction_id,smiles_halide,smiles_boronic,smiles_product,catalyst,base,solvent,temperature_C,time_h,scale_mmol,yield_percent,label_3bin,label_binary,label_3bin_v2
Paper 1,R1,IC1=CC=C(C)C=C1,OB(O)C1=CC=CC=C1,CC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L2,KOtBu,THF,60,24.0,,22,0,,0
Paper 1,R2,IC1=CC=C(C)C=C1,OB(O)C1=CC=CC=C1,CC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,60,24.0,,26,0,,0
Paper 1,R3,IC1=CC=C(C)C=C1,OB(O)C1=CC=CC=C1,CC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,Dioxane,100,24.0,,92,2,,2
Paper 1,R4,BrC1=CC=C(C)C=C1,OB(O)C1=CC=CC=C1,CC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,75,1,,1
Paper 1,R5,ClC1=CC=C(C)C=C1,OB(O)C1=CC=CC=C1,CC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,90,24.0,,62,1,,1
Paper 1,R6,BrC1=CC=CC=C1,OB(O)C1=CC=CC=C1,C1(C2=CC=CC=C2)=CC=CC=C1,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,67,1,,1
Paper 1,R7,BrC1=CC=C(OC)C=C1,OB(O)C1=CC=CC=C1,COC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,86,1,,2
Paper 1,R8,ClC1=CC=C(OC)C=C1,OB(O)C1=CC=CC=C1,COC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,90,24.0,,73,1,,1
Paper 1,R9,BrC1=CC=C(F)C=C1,OB(O)C1=CC=CC=C1,FC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,78,1,,1
Paper 1,R10,ClC1=CC=C(F)C=C1,OB(O)C1=CC=CC=C1,FC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,90,24.0,,71,1,,1
Paper 1,R11,ClC1=CC=C(N)C=C1,OB(O)C1=CC=CC=C1,NC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,90,24.0,,0,0,,0
Paper 1,R12,IC1=CC=C(O)C=C1,OB(O)C1=CC=CC=C1,OC1=CC=C(C2=CC=CC=C2)C=C1,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,56,1,,0
Paper 1,R13,BrC1=CC=C(C(C)=O)C=C1,OB(O)C1=CC=CC=C1,CC(C1=CC=C(C2=CC=CC=C2)C=C1)=O,Pd(OAc)2/L1,KOtBu,THF,70,24.0,,65,1,,1
